paper,case.study,old.case.study,new.case.study,efres.division.code,efres.group.code,efres.division,efres.group,efres.class,variable,sign,country,country2,continent,experiment.type,system.type,exper.system,experiment.design,other.fb,taxa,genera,order,origin,size.area,tank.size,water.volume,water.depth,sediment.depth,chlorophyll,nitrogen,phosphorous,carbon,o2,temperature,pH,soft.tissue,dry.weight,weight.g.m2,total.weight,number.fb,density.fb.volume,density.fb.area,length,test,significant,N_effect,X_effect,S_effect,SE_effect,N_ctr,X_ctr,S_ctr,SE_ctr,mul.out,yi,vi
P3679,P3679.1,na,P3679.1,1,1.3,organisms,algae,,Mycrocists.concentration.system,-1,Japan,Japan,Asia,Lab,na,Lab,Repeated,N,Corbicula.leana,Corbicula,Venerida,native,na,na,2,na,0.02,na,na,na,na,na,22,na,na,na,na,5.22,30,15,na,2.46,na,na,4,121.1,6.2,3.1,4,400,34,17,na,9.92392566,6.533340616
P4929,P4929.2,na,P4929.1,1,1.3,organisms,algae,,Phytoplankton.diversity.system,-1,China,China,Asia,Lab,na,Lab,Repeated,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,na,1000,1,0.15,0.27249,na,0.00044,na,na,10.7,na,70,na,na,na,3,3,3,7.5,anova,Y,4,2,0.03,0.0212,4,0.24,0.03,0.0212,4929.1,-1.615386538,96.79244041
P2700,P2700.3,P2700.3.10,P2700.3,1,1.3,organisms,algae,,Primary.productivity.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,2.46,4000,na,na,0.03,na,1.75,na,6.55,29,6.85,na,na,na,63.58,10,0,2.5,na,anova,N,6,2.4,0.8,0.4619,6,3.2,1.7,0.9815,2700.3,-0.434895677,0.276630045
P2736,P2736.1,na,P2736.1,1,1.3,organisms,algae,,Algae.filtration.rate.system,1,China,China,Asia,Lab,na,Lab,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,0.5,na,na,na,na,na,na,na,na,25,na,na,na,na,na,1,0.13,20,13,na,na,3,341.86,74.7207,43.14,3,471.27,228.3882,131.86,na,-0.6092816,0.457602006
P5329,P5329.1,P5329.1.3,P5329.1,1,1.3,organisms,algae,,Carotenoids.removal.rate.system,1,Malaysia,Malaysia,Asia,Lab,na,Lab,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,non.native,na,3.6,3.5,na,0,0.016,na,0.036,na,na,25,na,60,na,na,na,1.88,0.1,13,10.3,welch,Y,40,26.01,17.52,3.9176,6,34.979,7.142,4.1234,5329.1,0.101582674,0.227869136
P5278,P5278.1,P5278.1.1,P5278.1,1,1.3,organisms,algae,,Chl.concentration.removal.system,1,China,China,Asia,Lab,na,Lab,Repeated,N,Limnoperna.fortunei,Limnoperna,Mytilida,native,na,na,220,na,na,4.428,0.600016917,0.01617456,na,na,22,na,na,na,na,na,200,0.9,2222,1.6,u.test,Y,3,298.5,82.6188,47.7,3,0.08,0.02,0.0115,na,4.086523638,1.818306287
P5329,P5329.2,P5329.2.2,P5329.2,1,1.3,organisms,algae,,Chlorophyll.removal.rate.system,1,Malaysia,Malaysia,Asia,Lab,na,Lab,Independent,N,Several,Several,Unionida,native,na,na,3.6,na,0,0.0016,na,0.046,na,na,25,na,34,na,na,na,3.34,0.19,23,5.2,welch,Y,60,1.1763,1.72,0.314,9,3034.82,216.5064,125,5329.2,-31.55727351,12.38060098
P5216,P1595.4,P1595.4.1,P1595.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Meso,na,Meso,Independent,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,na,100,na,na,na,na,na,na,na,na,na,na,na,na,74.4,3,0.03,na,8.2,anova,Y,12,5.31,2.45,1.4145,12,9.97,2.72,1.5704,1595.1,1.718353852,0.300565788
P3988,P3988.1,P3988.1.1,P3988.1,1,1.3,organisms,algae,,Chl.concentration.system,-1,China,China,Asia,Meso,PlasticTank,PlasticTankMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.25,155,na,0.1,0.01,0.59,0.06,na,na,na,na,na,na,207,6.9,5,0.03,167,na,t.test,N,12,4.898,2.29,1.145,9,7.8,0.2,0.1,3988.1,0.90603539,0.280047785
P5272,P5272.5,P5272.5.3,P5272.1,1,1.4,organisms,bacteria,,Microorganism.reproduction.rate.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,1.62,0.05,0.12,na,na,na,na,na,15,na,na,na,105,na,na,na,1608,2,anova,Y,9,0.145,0.009,0.0052,9,85,35,20.2073,5272.1,2.400836774,0.455273987
P2098,P2098.1,P2098.1,P2098.1,1,1.4,organisms,bacteria,,Human.pathogene.density.system,-1,Japan,Japan,Asia,Field,River,RiverField,Independent,Y,Sinohyriopsis.schlegelii,Sinohyriopsis,Unionida,native,na,na,na,na,na,na,na,na,na,na,20,na,na,na,na,60,3,0.13,na,na,na,na,26,1.9,2.02,0.5831,26,4.79,0.84,0.2425,2098.1,1.909232906,0.134447733
P3341,P3341.2,P3341.2.2,P3341.2,2,2.1,human.inputs,human.inputs,mediation.wastes,Ammonia.concentration.system,-1,India,India,Asia,Meso,ArtifMesoc,ArtifMesocMeso,Independent,N,Lamellidens.marginalis,Lamellidens,Unionida,native,na,na,20000,1,na,na,na,na,na,na,30.35,7.94,na,na,75,50.5,30,0,1.5,5.2,duncan,Y,6,0.87,0.5543,0.32,6,2567.7,147.2243,85,3341.2,17.82535919,16.92979263
P1522,P1522.1,P1522.1.1,P1522.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,Iran,Iran,Asia,Field,Lake,LakeField,Independent,N,Anodonta.cygnea,Anodonta,Unionida,native,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,56,na,na,na,na,na,112,3.48,0.27,0.0361,16,1.05,0.22,0.0778,1522.1,7.446334762,0.366820386
P2688,P2688.2,P2688.2.2,P2688.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Pollutant.concentration.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,na,0.1,0.45,0.1,0.01,1.95,0.06,na,na,na,na,na,na,na,98.17,5,1,na,na,anova,Y,4,0.035,0.005,0.0025,4,0.019,0.004,0.002,na,-3.072877247,0.968232745
P1580,P1580.4,P1580.4.1,P1580.7,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.system,-1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.6,240,0.1,0.1,na,na,na,na,na,na,8.1,na,na,na,na,450,1.87,750,2,na,na,72,0.49,0.07,0.0404,72,0.029,0.014,0.0081,1580.7,-9.018958882,3.018767915
P3784,P3784.1,na,P3784.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Insective.concentration.system,-1,China,China,Asia,Lab,na,Lab,Repeated,N,Sinanodonta.woodiana,Sinanodonta,Unionida,native,na,na,20,na,na,na,na,na,na,na,na,na,na,na,na,10,10,0.5,na,na,na,na,10,20.6,5.0596,1.6,10,0,0,0,na,-5.514632783,0.943735032
P5136,P5136.1,P5136.1.2,P5136.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Zn.ratio.system,-1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,6,0.06,0.1,na,na,na,na,na,na,na,na,na,na,na,20,2.5,636,1.25,t.test,Y,2,0.72,0.5091,0.36,4,0.0725,0.0052,0.0026,na,-2.034645281,0.824981785
P1580,P1580.1,P1580.1.10,P1580.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Heavy.metal.concentration.FB,1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.6,240,0.1,0.1,na,na,na,na,na,na,8.1,na,na,na,na,450,1.87,750,2,dunnett,Y,9,5.36,0.24,0.1386,9,8.86,1.24,0.7159,1580.1,-1.999324126,0.413955741
P1580,P1580.3,P1580.3.18,P1580.4,2,2.1,human.inputs,human.inputs,mediation.wastes,Zn.concentration.FB,1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.6,240,0.1,0.1,na,na,na,na,na,na,8.1,na,na,na,na,450,1.87,750,2,na,na,63,128,13,7.5056,63,126,5,2.8868,1580.4,-1.424889089,0.208188351
P2700,P2700.3,P2700.3.1,P2700.3,2,2.1,human.inputs,human.inputs,mediation.wastes,Ammonia.concentration.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,2.46,4000,na,na,0.03,na,1.75,na,6.55,29,6.85,na,na,na,63.58,10,0,2.5,na,anova,N,3,1.4,0.6,0.3464,3,0.9,0.2,0.1155,na,-0.894427191,0.493333333
P4949,P4949.1,P4949.1.1,P4949.1,2,2.1,human.inputs,human.inputs,mediation.wastes,P.concentration.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,1.14,0.05,0.1,na,na,na,na,na,na,na,na,na,na,na,4,3.5,na,na,na,na,8,1.71,0.113,0.0799,6,2.81,0.263,0.186,4949.1,1.014371395,0.148892288
P831,P831.1,P831.1.1,P831.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Ammonia.concentration.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,2.5,0.25,0.25,na,na,na,na,na,17,8.3,na,na,na,9,na,na,na,na,na,na,30,27.09,13.55,7.8231,30,18,0.5,0.2887,831.1,1.384637835,0.755703215
P1607,P1607.1,P1607.1,P1607.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,India,India,Asia,Lab,na,Lab,Repeated,na,Lamellidens.marginalis,Lamellidens,Unionida,native,na,na,0.5,na,na,na,na,na,na,na,na,na,na,na,na,na,180,2,na,na,na,na,180,62.9657,19.7321,1.4707,1,34.3273,0,0,na,1.445271354,1.002905221
P1560,P1560.1,na,P1560.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cd.concentration.FB,1,China,China,Asia,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,0.03,na,na,na,na,na,na,5.8,na,na,na,na,na,na,40,na,na,2.2,na,na,24,5.793,3.326,0.6789,24,1.95,0.896,0.1829,na,1.551926835,0.105711789
P1580,P1580.3,P1580.3.19,P1580.3,2,2.1,human.inputs,human.inputs,mediation.wastes,Fe.concentration.system,-1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.6,240,0.1,0.1,na,na,na,na,na,na,8.1,na,na,na,na,450,1.87,750,2,na,na,9,11.4,0.3,0.1732,9,12.6,0.3,0.1732,1580.3,1.73474062,0.391977353
P5136,P5136.1,P5136.1.1,P5136.2,2,2.1,human.inputs,human.inputs,mediation.wastes,Manganese.ratio.FB,1,China,China,Asia,Lab,na,Lab,Repeated,na,Corbicula.fluminea,Corbicula,Venerida,native,na,na,6,0.06,0.1,na,na,na,na,na,na,na,na,na,na,na,20,2.5,636,1.25,t.test,Y,2,0.58,0.35,0.25,4,0.0119,0.0013,7.00E-04,na,2.596974831,1.042023189
P2685,P2685.1,P2685.1.1,P2685.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Microplastic.concentration.FB,1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,2,na,na,na,na,na,na,na,20,na,na,na,na,4.1,10,5,na,2.2,kruskal.wallis,Y,12,4.1,0.3,0.1732,12,0,0,0,2685.1,15.17922557,10.74143918
P1340,P1340,P1340.2,P1340.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Pb.concentration.FB,1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.1,na,0.08,0.08,na,na,na,na,na,na,na,na,na,na,na,20,4.4,na,2,na,na,80,9,0.5,0.1118,42,1.25,0.25,0.0559,1340.1,15.91834086,2.124637482
P5318,P5318.1,P5318.1.2,P5318.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Bioconcentration.factor.FB,1,China,China,Asia,Lab,na,Lab,Repeated,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,na,10,na,na,na,na,na,34.72,9.75,20.43,7.35,na,na,na,35.57,12,1.2,na,7.08,na,na,6,9.204,0,0,6,0.698,0.236,0.1363,5318.1,17.13367107,38.66960751
P2333,P2333.3,P2333.3.3,P2333.4,2,2.1,human.inputs,human.inputs,mediation.wastes,Hydrocarbon.concentration.FB,1,RepublicofKorea,RepublicofKorea,Asia,Lab,na,Lab,Repeated,N,Sinanodonta.sp.,Sinanodonta,Unionida,native,na,na,150,na,na,na,na,na,na,na,2.65,na,na,na,na,na,100,0.67,na,6.78,anova,Y,9,342.3,19.83,6.61,9,48.4,5.91,1.97,na,19.13038721,10.36744307
P3361,P3361.1.,P3361.1.1,P3361.1.,2,2.1,human.inputs,human.inputs,mediation.wastes,Cu.concentration.FB,1,Thailand,Thailand,Asia,Lab,na,Lab,Repeated,Y,Corbicula.fluminea,Corbicula,Venerida,native,na,na,10,na,na,na,na,na,na,na,29.1,7,na,na,na,na,na,na,na,0.23,anova,Y,660,5,0,0,27,0.47,0.5716,0.33,3361.1,25.23782889,3.11110325
P4986,P4986.2,na,P4986.3,2,2.1,human.inputs,human.inputs,mediation.wastes,Hg.concentration.FB,1,India,India,Asia,Lab,na,Lab,Repeated,N,Lamellidens.corrianus,Lamellidens,Unionida,native,na,na,na,na,na,na,na,na,na,na,24,7.53,na,1.78,na,na,10,na,na,na,t.test,Y,60,4.38,0.46,0.1455,60,0.85,0.11,0.0348,4986.3,76.77679097,63.84792052
P4986,P4986.14,na,P4986.2,2,2.1,human.inputs,human.inputs,mediation.wastes,Hg.concentration.FB,1,India,India,Asia,Lab,na,Lab,Repeated,N,Lamellidens.marginalis,Lamellidens,Unionida,native,na,na,na,na,na,na,na,na,na,na,24,7.53,na,1.98,na,na,10,na,na,na,t.test,Y,60,5.34,0.87,0.2751,60,0.9,0.21,0.0664,4986.2,89.68155728,92.83653463
P4986,P4986.11,na,P4986.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Cu.concentration.FB,1,India,India,Asia,Lab,na,Lab,Repeated,N,Indonaia.caerulea,Indonaia,Unionida,native,na,na,na,na,na,na,na,na,na,na,24,7.61,na,0.78,na,na,10,na,na,na,t.test,Y,60,826.7,4.09,1.2934,60,89,1.75,0.5534,4986.1,137.1587285,203.0413747
P5216,P1595.2,P1595.2.1,P1595.2,2,2.1,human.inputs,human.inputs,mediation.wastes,Pollutant.concentration.system,-1,China,China,Asia,Meso,na,Meso,Independent,N,Sinohyriopsis.cumingii,Sinohyriopsis,Unionida,native,na,na,100,na,na,na,na,na,na,na,na,na,na,na,na,74.4,3,0.03,na,8.2,anova,Y,12,17.31,0.02,0.0115,12,16.6,0.04,0.0231,1595.2,37.20439513,108.4271544
P3988,P3988.2,P3988.2.3,P3988.1,2,2.1,human.inputs,human.inputs,mediation.wastes,Ammonia.concentration.system,-1,China,China,Asia,Meso,PlasticTank,PlasticTankMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.25,155,na,0.1,0.01,0.59,0.06,na,na,na,na,na,na,na,6.9,5,0.03,167,na,t.test,Y,24,0.037,0.029,0.0145,25,7.4,0.04,0.02,3988.1,32.86688352,61.5540562
P5272,P5272.6,P5272.6.1,P5272.2,3,3.1,physico.chemical.conditions,sediment.control,sediments,Sediment.content.system,-1,China,China,Asia,Meso,Lake,LakeMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,1.62,0.05,0.12,na,na,na,na,na,15,na,na,na,35,na,na,na,536,2,anova,Y,9,39.4,0.1,0.0577,9,85,35,20.2073,5272.2,1.325085627,0.287795975
P1580,P1580.1,P1580.1.7,P1580.2,3,3.1,physico.chemical.conditions,sediment.control,sediments,Sediment.electric.flow.rate.system,1,China,China,Asia,Lab,na,Lab,Repeated,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.6,240,0.1,0.1,na,na,na,na,na,na,8.1,na,na,na,na,450,1.87,750,2,na,na,9,119.5,3.8,2.1939,9,137.3,2,1.1547,1580.2,-6.792071338,2.221338666
P2154,P2154.3,P2154.3.1,P2154.1,3,3.1,physico.chemical.conditions,sediment.control,sediments,Suspended.sediments.concentration.system,-1,China,China,Asia,Lab,na,Lab,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,na,7.7,na,0.15,0.08,2.6,0.11,na,na,18.7,na,na,na,na,na,4,na,206,na,anova,Y,4,4.34,1.32,0.66,4,16.91,5.62,2.81,na,2.677661212,0.826188682
P2333,P2333.3,P2333.3.2,P2333.5,3,3.1,physico.chemical.conditions,sediment.control,sediments,Suspended.sediments.concentration.system,-1,RepublicofKorea,RepublicofKorea,Asia,Lab,na,Lab,Repeated,N,Sinanodonta.sp.,Sinanodonta,Unionida,native,na,na,150,na,na,na,na,na,na,na,2.65,na,na,na,na,na,100,0.67,na,6.78,anova,Y,9,3.98,1.89,0.63,9,17.1,4.44,1.48,na,3.661970866,0.574062957
P3988,P3988.4,P3988.4.1,P3988.2,3,3.1,physico.chemical.conditions,sediment.control,sediments,Light.intensity.system,1,China,China,Asia,Meso,PlasticTank,PlasticTankMeso,Independent,N,Corbicula.fluminea,Corbicula,Venerida,native,na,0.25,155,na,0.1,0.01,0.59,0.06,na,na,na,na,na,na,na,6.9,5,0.03,167,na,t.test,Y,4,2.02,0.454,0.227,4,2.15,0.6,0.3,na,-0.212474979,0.380893435
